City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,college,64.8569,-147.8028,48.15,91,100,9.22,US,1694031402
1,gidole,5.65,37.3667,59.0,80,64,1.66,ET,1694031402
2,kodiak,57.79,-152.4072,53.11,58,40,6.91,US,1694031403
3,khovd,48.0056,91.6419,53.04,37,52,8.55,MN,1694031403
4,richards bay,-28.783,32.0377,61.32,75,1,3.98,ZA,1694031403
5,san antonio de pale,-1.4014,5.6325,73.98,85,61,9.13,GQ,1694031403
6,margaret river,-33.95,115.0667,44.49,73,5,5.73,AU,1694031404
7,guarapari,-20.6667,-40.4975,71.89,90,100,13.67,BR,1694031404
8,udachny,66.4167,112.4,30.45,100,100,18.19,RU,1694031404
9,hobyo,5.3505,48.5268,77.59,85,6,24.99,SO,1694031405
10,puerto natales,-51.7236,-72.4875,41.94,72,50,11.05,CL,1694031405
11,edinburgh of the seven seas,-37.0676,-12.3116,59.04,84,80,38.97,SH,1694031405
12,blackmans bay,-43.0167,147.3167,54.73,70,100,6.4,AU,1694031406
13,basco,20.4487,121.9702,82.63,79,100,16.78,PH,1694031406
14,newman,37.3138,-121.0208,87.06,26,0,3.42,US,1694031406
15,grytviken,-54.2811,-36.5092,22.3,76,30,10.85,GS,1694031406
16,carutapera,-1.195,-46.02,82.9,70,50,11.32,BR,1694031407
17,port-aux-francais,-49.35,70.2167,37.87,70,100,13.38,TF,1694031407
18,nova sintra,14.8667,-24.7167,74.8,75,100,17.54,CV,1694031407
19,ilulissat,69.2167,-51.1,35.62,93,100,3.44,GL,1694031408
20,mana,5.6592,-53.7767,83.57,68,84,11.21,GF,1694031408
21,angra do heroismo,38.65,-27.2167,73.11,79,20,8.01,PT,1694031408
22,hawaiian paradise park,19.5933,-154.9731,83.73,73,40,6.91,US,1694031408
23,holualoa,19.6228,-155.9522,83.88,76,40,8.05,US,1694031408
24,whitehorse,60.7161,-135.0538,57.31,51,83,10.0,CA,1694031409
25,adamstown,-25.066,-130.1015,67.41,65,43,11.41,PN,1694031409
26,tura,25.5198,90.2201,76.19,95,100,5.97,IN,1694031409
27,waitangi,-43.9535,-176.5597,55.81,88,63,11.99,NZ,1694031409
28,belel,7.05,14.4333,62.13,95,79,3.29,CM,1694031410
29,teknaf,20.8624,92.3058,78.46,94,100,12.55,BD,1694031410
30,bardai,11.65,7.2333,77.9,65,0,3.8,NG,1694031410
31,ribeira grande,38.5167,-28.7,73.8,73,75,8.05,PT,1694031410
32,new norfolk,-42.7826,147.0587,55.92,76,99,2.86,AU,1694031410
33,tarawa,1.419,172.984,86.09,74,20,11.5,KI,1694031411
34,punta arenas,-53.15,-70.9167,40.75,71,97,21.21,CL,1694031203
35,coquimbo,-29.9533,-71.3436,58.73,88,75,9.22,CL,1694031411
36,tarinkot,32.6268,65.8733,73.06,12,0,1.86,AF,1694031411
